,COUNTY,YEAR,MEDIAN_AGE_TOT,OVER_65
83,Calhoun Illinois,12,48.0,9.841738763452206
95,Carroll Illinois,12,47.7,9.90183152743796
107,Cass Illinois,12,40.2,9.798649872396476
119,Champaign Illinois,12,30.6,10.315756191311896
131,Christian Illinois,12,43.3,9.952615775136206
143,Clark Illinois,12,42.6,9.841499902856032
155,Clay Illinois,12,42.6,9.819068567961166
167,Clinton Illinois,12,41.1,9.950351418987275
179,Coles Illinois,12,37.0,10.205705142134688
203,Crawford Illinois,12,42.0,9.993571543365297
215,Cumberland Illinois,12,43.1,9.837553408879808
227,DeKalb Illinois,12,31.7,10.145149050973812
239,De Witt Illinois,12,43.6,9.906612098733854
251,Douglas Illinois,12,39.3,9.807207808887746
275,Edgar Illinois,12,45.3,9.91150282617563
287,Edwards Illinois,12,43.9,9.81233776387803
299,Effingham Illinois,12,39.4,9.815378734415432
311,Fayette Illinois,12,41.5,9.967636857892764
323,Ford Illinois,12,42.0,9.850628809505439
335,Franklin Illinois,12,43.1,9.856120512620551
347,Fulton Illinois,12,43.5,9.992763541059988
359,Gallatin Illinois,12,46.4,9.9056338028169
371,Greene Illinois,12,43.5,9.887693731205182
383,Grundy Illinois,12,38.3,9.842094644885806
395,Hamilton Illinois,12,44.3,9.852920157713159
407,Hancock Illinois,12,45.8,9.849209396882765
419,Hardin Illinois,12,49.8,9.96173776498299
431,Henderson Illinois,12,49.8,9.909690039121276
443,Henry Illinois,12,43.2,9.855604849426532
455,Iroquois Illinois,12,44.4,9.860455853064838
467,Jackson Illinois,12,32.5,10.259497797356827
479,Jasper Illinois,12,42.3,9.807939646201874
491,Jefferson Illinois,12,41.0,9.880294023988961
503,Jersey Illinois,12,43.4,9.942470031690625
515,Jo Daviess Illinois,12,50.9,9.8654532611255
527,Johnson Illinois,12,43.9,10.040742530401868
539,Kane Illinois,12,38.2,9.84085401472193
551,Kankakee Illinois,12,38.7,9.936599552165443
563,Kendall Illinois,12,35.8,9.779640282192418
575,Knox Illinois,12,42.5,9.976186643594438
587,Lake Illinois,12,38.9,9.876934970963413
599,LaSalle Illinois,12,42.1,9.919333940682256
611,Lawrence Illinois,12,40.1,10.108693710932517
623,Lee Illinois,12,43.6,9.969896762083529
635,Livingston Illinois,12,41.5,9.92009369389587
647,Logan Illinois,12,39.9,10.095041582220981
659,McDonough Illinois,12,34.4,10.278768277070279
671,McHenry Illinois,12,40.6,9.870549819023049
683,McLean Illinois,12,33.8,10.120336759621496
695,Macon Illinois,12,41.2,9.875868434462403
707,Macoupin Illinois,12,43.7,9.899739571740195
719,Madison Illinois,12,40.4,9.930311903439987
731,Marion Illinois,12,41.6,9.807326972181158
743,Marshall Illinois,12,46.2,9.888809232383284
755,Mason Illinois,12,45.1,9.878815779624224
767,Massac Illinois,12,44.8,9.843072901539355
779,Menard Illinois,12,43.4,9.881715316497212
791,Mercer Illinois,12,44.7,9.873207229383949
803,Monroe Illinois,12,42.7,9.866463608280164
815,Montgomery Illinois,12,43.1,9.95632786654466
827,Morgan Illinois,12,41.8,10.05513696595163
839,Moultrie Illinois,12,39.7,9.760685469967589
851,Ogle Illinois,12,42.2,9.865138321189503
863,Peoria Illinois,12,38.1,9.870197400364999
875,Perry Illinois,12,41.0,10.063157391470645
887,Piatt Illinois,12,42.8,9.867156142927067
899,Pike Illinois,12,42.6,9.825114067219332
911,Pope Illinois,12,53.5,10.185659564280584
923,Pulaski Illinois,12,45.3,9.853664479850048
935,Putnam Illinois,12,46.8,9.911273741069873
947,Randolph Illinois,12,42.2,10.039085016676106
959,Richland Illinois,12,42.7,9.827286791723072
971,Rock Island Illinois,12,40.5,9.892362506079124
983,St. Clair Illinois,12,39.2,9.877140854724553
995,Saline Illinois,12,43.0,9.904857179345282
1007,Sangamon Illinois,12,40.8,9.90534231938851
1019,Schuyler Illinois,12,46.8,9.979728132387708
1031,Scott Illinois,12,43.9,9.885255503938598
1043,Shelby Illinois,12,45.2,9.852417490986412
1055,Stark Illinois,12,45.2,9.84223137401722
1067,Stephenson Illinois,12,45.7,9.838233179019282
1079,Tazewell Illinois,12,41.4,9.87288149738625
1091,Union Illinois,12,44.4,9.889413318921516
1103,Vermilion Illinois,12,41.0,9.817959819425012
1115,Wabash Illinois,12,42.6,9.853871527777779
1127,Warren Illinois,12,40.0,9.935407266682498
1139,Washington Illinois,12,43.9,9.886937423489595
1151,Wayne Illinois,12,43.4,9.813962380511871
1163,White Illinois,12,43.6,9.821644382063973
1175,Whiteside Illinois,12,43.6,9.849453556864521
1187,Will Illinois,12,38.4,9.8712783191433
1199,Williamson Illinois,12,41.4,9.912299352823702
1211,Winnebago Illinois,12,39.8,9.854811517064677
1223,Woodford Illinois,12,40.6,9.816807509295613
11,Adams Indiana,12,33.7,9.521080582497135
23,Allen Indiana,12,36.0,9.831236043332568
35,Bartholomew Indiana,12,37.6,9.885360293152221
47,Benton Indiana,12,40.4,9.76936442615455
59,Blackford Indiana,12,44.6,9.850875999319612
71,Boone Indiana,12,38.1,9.782440340197219
83,Brown Indiana,12,50.3,9.94701166180758
95,Carroll Indiana,12,43.2,9.855812805449968
107,Cass Indiana,12,41.2,9.869967364483006
119,Clark Indiana,12,39.4,9.928280164325201
131,Clay Indiana,12,41.2,9.861780743565301
143,Clinton Indiana,12,37.8,9.747640359270347
155,Crawford Indiana,12,44.5,9.8366739150988
167,Daviess Indiana,12,34.6,9.626475967737099
179,Dearborn Indiana,12,42.7,9.88148934449432
191,Decatur Indiana,12,39.9,9.837264204224557
203,DeKalb Indiana,12,39.3,9.837867740080506
215,Delaware Indiana,12,35.9,10.202794059666184
227,Dubois Indiana,12,40.6,9.780807749906401
239,Elkhart Indiana,12,35.7,9.734457524195385
251,Fayette Indiana,12,43.2,9.888806163968487
263,Floyd Indiana,12,39.8,9.904890349201498
275,Fountain Indiana,12,43.3,9.872341857335128
287,Franklin Indiana,12,42.6,9.821451797170226
299,Fulton Indiana,12,41.6,9.805627315510163
311,Gibson Indiana,12,40.2,9.821331590362162
323,Grant Indiana,12,40.3,9.97439979321565
335,Greene Indiana,12,43.7,9.874810475534115
347,Hamilton Indiana,12,37.5,9.78477475585114
359,Hancock Indiana,12,40.1,9.864677361580187
371,Harrison Indiana,12,42.0,9.868443786252005
383,Hendricks Indiana,12,38.1,9.866139591688148
395,Henry Indiana,12,42.7,9.970455682481449
407,Howard Indiana,12,41.4,9.852362376429541
419,Huntington Indiana,12,40.6,9.933203723986855
431,Jackson Indiana,12,39.3,9.823953788067193
443,Jasper Indiana,12,40.4,9.879041773434242
455,Jay Indiana,12,40.1,9.738505578391075
467,Jefferson Indiana,12,41.3,9.985059428005448
479,Jennings Indiana,12,41.0,9.83576708130521
491,Johnson Indiana,12,37.6,9.86876908583965
503,Knox Indiana,12,39.0,9.970295676886922
515,Kosciusko Indiana,12,38.5,9.858116441804269
527,LaGrange Indiana,12,31.8,9.535967082344625
539,Lake Indiana,12,39.4,9.886501762126334
551,LaPorte Indiana,12,40.8,9.94165695981363
563,Lawrence Indiana,12,43.5,9.887579898611417
575,Madison Indiana,12,41.0,9.942756369193248
587,Marion Indiana,12,34.4,9.92967150537746
599,Marshall Indiana,12,40.0,9.76938043149293
611,Martin Indiana,12,43.5,9.837493905411995
623,Miami Indiana,12,40.7,9.973102263768443
635,Monroe Indiana,12,30.1,10.492283283141662
647,Montgomery Indiana,12,40.5,9.871576503729981
659,Morgan Indiana,12,42.0,9.863893657166367
671,Newton Indiana,12,43.7,9.909875572082381
683,Noble Indiana,12,39.3,9.819941772788203
695,Ohio Indiana,12,47.3,9.890944680851064
707,Orange Indiana,12,42.4,9.831334622823984
719,Owen Indiana,12,44.9,9.89196115197846
731,Parke Indiana,12,42.2,9.8888941370963
743,Perry Indiana,12,41.3,9.946022223381501
755,Pike Indiana,12,44.0,9.849866817337961
767,Porter Indiana,12,40.2,9.95747495436912
779,Posey Indiana,12,43.1,9.869630707515633
791,Pulaski Indiana,12,43.0,9.858738767910628
803,Putnam Indiana,12,39.0,10.097429210134129
815,Randolph Indiana,12,43.0,9.832596797080884
827,Ripley Indiana,12,41.0,9.838829261403756
839,Rush Indiana,12,42.3,9.851293649357698
851,St. Joseph Indiana,12,36.7,9.924704406495332
863,Scott Indiana,12,41.2,9.884857370250911
875,Shelby Indiana,12,41.5,9.865132240828098
887,Spencer Indiana,12,43.8,9.864368496325886
899,Starke Indiana,12,42.0,9.844313981300283
911,Steuben Indiana,12,44.0,9.938139561773719
923,Sullivan Indiana,12,41.4,10.075059267502056
935,Switzerland Indiana,12,41.1,9.762356990047438
947,Tippecanoe Indiana,12,28.4,10.26352563709562
959,Tipton Indiana,12,45.2,9.906469500924215
971,Union Indiana,12,43.6,9.91772044230224
983,Vanderburgh Indiana,12,38.5,9.973659555472276
995,Vermillion Indiana,12,42.6,9.878861788617886
1007,Vigo Indiana,12,36.3,10.087336273099273
1019,Wabash Indiana,12,42.8,9.944663827590656
1031,Warren Indiana,12,44.0,9.819721718088324
1043,Warrick Indiana,12,41.0,9.842042604527128
1055,Washington Indiana,12,41.4,9.854308745898132
1067,Wayne Indiana,12,41.4,9.891497176856292
1079,Wells Indiana,12,40.0,9.78060503251343
1091,White Indiana,12,42.6,9.800954277653307
1103,Whitley Indiana,12,41.8,9.843357672830056
11,Adair Iowa,12,44.4,9.830313199105145
23,Adams Iowa,12,47.0,9.830372015546919
35,Allamakee Iowa,12,44.6,9.72956820340469
47,Appanoose Iowa,12,44.7,9.786150008047642
59,Audubon Iowa,12,47.4,9.81975982532751
71,Benton Iowa,12,42.8,9.79866640670696
83,Black Hawk Iowa,12,35.6,10.026226110281343
95,Boone Iowa,12,42.1,9.941987497141115
107,Bremer Iowa,12,39.5,9.913953395578964
119,Buchanan Iowa,12,39.6,9.732495867768595
131,Buena Vista Iowa,12,36.0,9.799184505606524
143,Butler Iowa,12,44.1,9.822709328900894
155,Calhoun Iowa,12,43.7,9.866745966073644
167,Carroll Iowa,12,41.8,9.738348623853211
179,Cass Iowa,12,44.8,9.807946400747896
191,Cedar Iowa,12,43.5,9.862108766843829
203,Cerro Gordo Iowa,12,44.2,9.883679623085984
215,Cherokee Iowa,12,46.2,9.80526924788607
227,Chickasaw Iowa,12,43.3,9.7627838766446
239,Clarke Iowa,12,40.2,9.714763171899946
251,Clay Iowa,12,42.0,9.82917082917083
263,Clayton Iowa,12,47.4,9.806222576785002
275,Clinton Iowa,12,42.3,9.825891145620194
287,Crawford Iowa,12,38.7,9.789696789536267
299,Dallas Iowa,12,35.4,9.804451435480937
311,Davis Iowa,12,36.9,9.560099999999998
323,Decatur Iowa,12,36.5,9.949237611181703
335,Delaware Iowa,12,43.2,9.76610428546235
347,Des Moines Iowa,12,42.4,9.826992070213258
359,Dickinson Iowa,12,48.6,9.891447444663346
371,Dubuque Iowa,12,38.6,9.904086896650943
383,Emmet Iowa,12,43.1,9.976009991311903
395,Fayette Iowa,12,43.1,9.893796437659033
407,Floyd Iowa,12,43.4,9.80126582278481
419,Franklin Iowa,12,43.0,9.779245283018868
431,Fremont Iowa,12,45.8,9.78962643678161
443,Greene Iowa,12,44.0,9.791404140414041
455,Grundy Iowa,12,42.5,9.828850555918901
467,Guthrie Iowa,12,45.6,9.827074562634484
479,Hamilton Iowa,12,43.1,9.805936505787585
491,Hancock Iowa,12,44.1,9.843095014111007
503,Hardin Iowa,12,44.8,9.972741303573548
515,Harrison Iowa,12,43.4,9.802790234180367
527,Henry Iowa,12,40.7,9.935586849754436
539,Howard Iowa,12,41.7,9.71802795370168
551,Humboldt Iowa,12,42.6,9.76905210295041
563,Ida Iowa,12,42.1,9.723921282798834
575,Iowa Iowa,12,42.3,9.793765447355412
587,Jackson Iowa,12,44.7,9.811240290138382
599,Jasper Iowa,12,41.7,9.884676616915423
611,Jefferson Iowa,12,42.9,10.210707843673134
623,Johnson Iowa,12,30.7,10.27389638745534
635,Jones Iowa,12,43.7,9.9030849572071
647,Keokuk Iowa,12,43.2,9.800429435877415
659,Kossuth Iowa,12,45.7,9.802855599810977
671,Lee Iowa,12,43.4,9.883275395905756
683,Linn Iowa,12,38.2,9.925763764523216
695,Louisa Iowa,12,42.1,9.894526506570005
707,Lucas Iowa,12,44.0,9.783023255813953
719,Lyon Iowa,12,38.2,9.643402807316036
731,Madison Iowa,12,41.3,9.778142979556861
743,Mahaska Iowa,12,39.3,9.833414799728445
755,Marion Iowa,12,39.8,9.856187411662106
767,Marshall Iowa,12,38.7,9.759828799309101
779,Mills Iowa,12,43.1,9.809325567542524
791,Mitchell Iowa,12,42.7,9.772406952578878
803,Monona Iowa,12,45.7,9.800545560069645
815,Monroe Iowa,12,42.8,9.824419359024263
827,Montgomery Iowa,12,44.4,9.797156398104265
839,Muscatine Iowa,12,38.6,9.809689668104255
851,O'Brien Iowa,12,41.2,9.78849705518796
863,Osceola Iowa,12,44.6,9.760758643840214
875,Page Iowa,12,44.6,10.019500893625471
887,Palo Alto Iowa,12,41.8,9.810465901417961
899,Plymouth Iowa,12,40.3,9.758521666600469
911,Pocahontas Iowa,12,45.9,9.777594802840309
935,Pottawattamie Iowa,12,40.0,9.847220136042743
947,Poweshiek Iowa,12,41.1,10.025351275399913
959,Ringgold Iowa,12,45.0,9.777482631794033
971,Sac Iowa,12,45.8,9.74733052155128
983,Scott Iowa,12,38.7,9.875685630525664
995,Shelby Iowa,12,46.2,9.783673825737733
1007,Sioux Iowa,12,34.4,9.781391478984364
1019,Story Iowa,12,26.9,10.495885375371975
1031,Tama Iowa,12,41.9,9.772154978046753
1043,Taylor Iowa,12,42.5,9.764826008822087
1055,Union Iowa,12,41.2,9.880173188464994
1067,Van Buren Iowa,12,44.5,9.786272004542873
1079,Wapello Iowa,12,39.7,9.88337384540593
1091,Warren Iowa,12,38.3,9.834148758403606
1103,Washington Iowa,12,40.6,9.7739403596631
1115,Wayne Iowa,12,42.5,9.70229777984785
1127,Webster Iowa,12,39.1,9.963711564171122
1139,Winnebago Iowa,12,42.1,9.885464554761445
1151,Winneshiek Iowa,12,42.1,10.066234805662548
1175,Worth Iowa,12,44.0,9.89865871833085
1187,Wright Iowa,12,43.0,9.728148384015284
11,Allen Kansas,12,41.4,9.888058856819468
23,Anderson Kansas,12,41.7,9.682578264189361
35,Atchison Kansas,12,37.3,9.931394263671995
47,Barber Kansas,12,44.6,9.751660266546194
59,Barton Kansas,12,40.2,9.819318049575235
71,Bourbon Kansas,12,39.2,9.754176413925968
83,Brown Kansas,12,41.2,9.693140945211209
95,Butler Kansas,12,38.2,9.806492206064773
107,Chase Kansas,12,46.1,9.926019637462234
119,Chautauqua Kansas,12,49.2,9.855753846153846
131,Cherokee Kansas,12,42.5,9.838131300466422
143,Cheyenne Kansas,12,46.7,9.836921339856982
155,Clark Kansas,12,40.8,9.762688064192577
167,Clay Kansas,12,43.0,9.771432141964508
179,Cloud Kansas,12,40.5,9.823639881629866
191,Coffey Kansas,12,44.4,9.840860740921872
203,Comanche Kansas,12,45.4,9.718470588235295
215,Cowley Kansas,12,38.9,9.867677896184256
227,Crawford Kansas,12,33.9,10.065327940646092
239,Decatur Kansas,12,51.1,9.842624690484612
251,Dickinson Kansas,12,42.0,9.817394129751976
263,Doniphan Kansas,12,40.9,9.966434210526314
275,Douglas Kansas,12,30.6,10.374554020562904
287,Edwards Kansas,12,44.6,9.76433166547534
299,Elk Kansas,12,50.2,9.653833992094862
311,Ellis Kansas,12,33.9,10.09946065212062
323,Ellsworth Kansas,12,42.5,10.077433628318584
335,Finney Kansas,12,31.3,9.690056763649327
347,Ford Kansas,12,31.6,9.696766709301288
359,Franklin Kansas,12,39.8,9.836979329783901
371,Geary Kansas,12,26.7,9.83267129775813
383,Gove Kansas,12,44.0,9.724582701062216
395,Graham Kansas,12,50.4,9.817244157937148
407,Grant Kansas,12,34.5,9.643986013986014
419,Gray Kansas,12,36.2,9.664028056112224
431,Greeley Kansas,12,39.1,9.664853896103896
443,Greenwood Kansas,12,47.7,9.778619190906051
455,Hamilton Kansas,12,34.9,9.669515557306026
467,Harper Kansas,12,42.8,9.710596026490066
479,Harvey Kansas,12,39.4,9.837445177030991
491,Haskell Kansas,12,36.0,9.705645161290322
503,Hodgeman Kansas,12,46.3,9.771627647714604
515,Jackson Kansas,12,41.4,9.726019284792347
527,Jefferson Kansas,12,43.3,9.829716956361917
539,Jewell Kansas,12,51.7,9.788711358110456
563,Kearny Kansas,12,34.8,9.65940594059406
575,Kingman Kansas,12,44.4,9.831991051454137
587,Kiowa Kansas,12,41.3,9.829212121212121
599,Labette Kansas,12,41.3,9.768340299724741
611,Lane Kansas,12,46.9,9.788208469055375
623,Leavenworth Kansas,12,38.1,9.91298833141711
635,Lincoln Kansas,12,47.8,9.793315327481432
647,Linn Kansas,12,45.5,9.83113470060806
659,Logan Kansas,12,41.1,9.785647816750178
671,Lyon Kansas,12,33.1,10.047510167193854
683,McPherson Kansas,12,40.4,9.878158503258357
695,Marion Kansas,12,44.5,9.878534163581286
707,Marshall Kansas,12,42.9,9.734099103739569
719,Meade Kansas,12,39.6,9.75045871559633
731,Miami Kansas,12,40.9,9.784937348482636
743,Mitchell Kansas,12,43.2,9.80351229302559
755,Montgomery Kansas,12,40.3,9.805784033428633
767,Morris Kansas,12,46.5,9.842081850533807
779,Morton Kansas,12,44.1,9.73950521839969
791,Nemaha Kansas,12,39.2,9.642967451861988
803,Neosho Kansas,12,40.6,9.763890797775973
815,Ness Kansas,12,48.5,9.82709090909091
827,Norton Kansas,12,43.3,10.032326058571163
839,Osage Kansas,12,43.4,9.801956235500658
851,Osborne Kansas,12,46.1,9.83516515638702
863,Ottawa Kansas,12,44.1,9.867478962131838
875,Pawnee Kansas,12,44.9,10.166962893670098
887,Phillips Kansas,12,45.2,9.800382116927778
899,Pottawatomie Kansas,12,35.5,9.676557437558955
911,Pratt Kansas,12,39.7,9.820133129637712
923,Rawlins Kansas,12,48.4,9.765375494071147
935,Reno Kansas,12,40.7,9.896201490370656
947,Republic Kansas,12,49.4,9.763459879206213
959,Rice Kansas,12,38.6,9.89772465135787
971,Riley Kansas,12,25.5,10.616950910658476
983,Rooks Kansas,12,44.8,9.815609756097562
995,Rush Kansas,12,47.9,9.851745718050067
1007,Russell Kansas,12,46.3,9.790008751458577
1019,Saline Kansas,12,39.5,9.861896946001771
1031,Scott Kansas,12,39.1,9.70165871863985
1043,Sedgwick Kansas,12,35.8,9.842330275442697
1055,Seward Kansas,12,29.8,9.63812768340489
1067,Shawnee Kansas,12,39.6,9.862985724381627
1079,Sheridan Kansas,12,43.1,9.7330821102737
1091,Sherman Kansas,12,38.9,9.780446172046645
1103,Smith Kansas,12,50.3,9.80583310075356
1115,Stafford Kansas,12,44.4,9.748411934552454
1127,Stanton Kansas,12,37.7,9.693768693918246
1139,Stevens Kansas,12,37.1,9.652342752962625
1151,Sumner Kansas,12,41.0,9.78879838850937
1163,Thomas Kansas,12,35.8,9.895306673524496
1175,Trego Kansas,12,50.2,9.94584373885123
1187,Wabaunsee Kansas,12,44.0,9.789063627182225
1199,Wallace Kansas,12,42.5,9.72760210803689
1211,Washington Kansas,12,44.8,9.775212726600074
1223,Wichita Kansas,12,40.5,9.672722982538934
1235,Wilson Kansas,12,42.7,9.755390029325513
1247,Woodson Kansas,12,47.2,9.839133205863607
1259,Wyandotte Kansas,12,34.1,9.77170931336102
11,Adair Kentucky,12,41.4,10.009134465159878
23,Allen Kentucky,12,40.9,9.847848932676518
35,Anderson Kentucky,12,40.8,9.83245263111619
47,Ballard Kentucky,12,44.6,9.897641987829616
59,Barren Kentucky,12,40.4,9.826897783000746
71,Bath Kentucky,12,39.9,9.730231999999999
83,Bell Kentucky,12,42.6,9.920044560540873
95,Boone Kentucky,12,37.9,9.798159169342945
107,Bourbon Kentucky,12,42.5,9.842050737820902
119,Boyd Kentucky,12,42.9,9.903225737403142
131,Boyle Kentucky,12,40.5,10.028426480372588
143,Bracken Kentucky,12,41.3,9.81998072985668
155,Breathitt Kentucky,12,42.9,9.937838479809976
167,Breckinridge Kentucky,12,43.1,9.830692972603408
179,Bullitt Kentucky,12,40.8,9.953606934717666
191,Butler Kentucky,12,41.7,9.860369593912571
203,Caldwell Kentucky,12,43.2,9.824523417274653
215,Calloway Kentucky,12,35.8,10.21752775569857
227,Campbell Kentucky,12,38.7,10.020545178663019
239,Carlisle Kentucky,12,43.3,9.799852941176471
251,Carroll Kentucky,12,38.1,9.743213244285581
263,Carter Kentucky,12,42.0,9.866477590775087
275,Casey Kentucky,12,42.0,9.825484250263012
287,Christian Kentucky,12,28.4,9.889135834007465
299,Clark Kentucky,12,41.7,9.87633951962055
311,Clay Kentucky,12,39.7,10.013250590422592
323,Clinton Kentucky,12,42.6,9.86754746525739
335,Crittenden Kentucky,12,43.7,9.843027481262775
347,Cumberland Kentucky,12,46.3,9.829800423344421
359,Daviess Kentucky,12,38.7,9.822252760784545
371,Edmonson Kentucky,12,44.8,10.057514403292181
383,Elliott Kentucky,12,43.1,10.094864972728482
395,Estill Kentucky,12,43.3,9.885672763363107
407,Fayette Kentucky,12,35.0,10.125003094518988
419,Fleming Kentucky,12,41.0,9.789383444208216
431,Floyd Kentucky,12,42.3,9.877105285340976
443,Franklin Kentucky,12,41.1,9.964760447922181
455,Fulton Kentucky,12,41.8,9.903132853074217
467,Gallatin Kentucky,12,39.1,9.856928627804713
479,Garrard Kentucky,12,43.6,9.840688327861429
491,Grant Kentucky,12,37.2,9.763500737963222
503,Graves Kentucky,12,40.5,9.795322814361617
515,Grayson Kentucky,12,40.5,9.848280168009989
527,Green Kentucky,12,45.2,9.886226121926697
539,Greenup Kentucky,12,43.8,9.875257849450112
551,Hancock Kentucky,12,40.4,9.77418023389131
563,Hardin Kentucky,12,37.2,9.869456911624217
575,Harlan Kentucky,12,41.8,9.816370626682044
587,Harrison Kentucky,12,42.1,9.841475166790215
599,Hart Kentucky,12,40.0,9.781770422905174
611,Henderson Kentucky,12,40.8,9.855713337757134
623,Henry Kentucky,12,41.7,9.82882921989334
635,Hickman Kentucky,12,48.7,9.932123287671232
647,Hopkins Kentucky,12,41.5,9.855961598711005
659,Jackson Kentucky,12,42.0,9.851001575512042
671,Jefferson Kentucky,12,38.5,9.959998408883127
683,Jessamine Kentucky,12,38.4,9.879042779266378
695,Johnson Kentucky,12,42.2,9.876879394267172
707,Kenton Kentucky,12,37.6,9.904080288386687
719,Knott Kentucky,12,43.7,9.962697555045253
731,Knox Kentucky,12,39.6,9.874509552095038
743,Larue Kentucky,12,40.7,9.872947631615503
755,Laurel Kentucky,12,40.0,9.87706575896601
767,Lawrence Kentucky,12,41.5,9.792354899784554
779,Lee Kentucky,12,42.3,10.070552478724842
791,Leslie Kentucky,12,43.1,9.881249367216768
803,Letcher Kentucky,12,43.4,9.851686540156823
815,Lewis Kentucky,12,42.8,9.868685499058381
827,Lincoln Kentucky,12,41.5,9.7876695588415
839,Livingston Kentucky,12,47.0,9.85479660648249
851,Logan Kentucky,12,40.6,9.824832115711017
863,Lyon Kentucky,12,49.4,10.117344701583434
875,McCracken Kentucky,12,42.0,9.86713137057079
887,McCreary Kentucky,12,39.5,9.993122859961696
899,McLean Kentucky,12,42.8,9.793287715868361
911,Madison Kentucky,12,34.5,10.124969081699593
923,Magoffin Kentucky,12,42.7,9.851878957322588
935,Marion Kentucky,12,39.9,9.816110621076117
947,Marshall Kentucky,12,45.1,9.893475884244372
959,Martin Kentucky,12,39.8,10.088771773112997
971,Mason Kentucky,12,41.3,9.819642647920327
983,Meade Kentucky,12,39.5,9.951683466330673
995,Menifee Kentucky,12,46.0,10.011403914316535
1007,Mercer Kentucky,12,42.8,9.844015866502529
1019,Metcalfe Kentucky,12,42.2,9.79964253798034
1031,Monroe Kentucky,12,42.4,9.825201877934271
1043,Montgomery Kentucky,12,39.8,9.872422488191214
1055,Morgan Kentucky,12,41.7,10.136276204072432
1067,Muhlenberg Kentucky,12,41.9,9.974459538893607
1079,Nelson Kentucky,12,39.6,9.859053057339995
1091,Nicholas Kentucky,12,40.7,9.801169349291511
1103,Ohio Kentucky,12,40.3,9.801462865716429
1115,Oldham Kentucky,12,39.6,9.814961301815895
1127,Owen Kentucky,12,43.1,9.872773140078893
1139,Owsley Kentucky,12,42.8,9.828946772366931
1151,Pendleton Kentucky,12,41.7,9.841514736120631
1163,Perry Kentucky,12,41.3,9.840566037735849
1175,Pike Kentucky,12,43.4,9.928042712004977
1187,Powell Kentucky,12,39.5,9.84137066105672
1199,Pulaski Kentucky,12,42.2,9.865344188122316
1211,Robertson Kentucky,12,46.5,9.874051233396585
1223,Rockcastle Kentucky,12,43.5,9.905450733752621
1235,Rowan Kentucky,12,31.1,10.215089942763695
1247,Russell Kentucky,12,43.6,9.79867209730514
1259,Scott Kentucky,12,36.4,9.880752227913831
1271,Shelby Kentucky,12,39.8,9.923951533942558
1283,Simpson Kentucky,12,39.4,9.841880249838466
1295,Spencer Kentucky,12,42.0,9.873598263655625
1307,Taylor Kentucky,12,38.2,9.92348170282122
1319,Todd Kentucky,12,38.0,9.722303562713519
1331,Trigg Kentucky,12,46.6,9.822715173025733
1343,Trimble Kentucky,12,42.9,9.87757053476567
1355,Union Kentucky,12,38.9,10.18725401571518
1367,Warren Kentucky,12,32.8,10.049894654466652
1379,Washington Kentucky,12,41.8,9.829830508474577
1391,Wayne Kentucky,12,44.5,9.91041656420597
1403,Webster Kentucky,12,41.0,9.826997372894452
1415,Whitley Kentucky,12,36.2,9.815138980807413
1427,Wolfe Kentucky,12,42.8,9.819868660053094
1439,Woodford Kentucky,12,43.0,9.877047953916362
11,Acadia Louisiana,12,37.3,9.783081634297687
23,Allen Louisiana,12,37.7,9.984301713037032
35,Ascension Louisiana,12,36.1,9.807463429275536
47,Assumption Louisiana,12,41.8,9.927540998583892
59,Avoyelles Louisiana,12,38.6,9.879947190115583
71,Beauregard Louisiana,12,37.4,9.835864202469532
83,Bienville Louisiana,12,42.8,9.840253757269089
95,Bossier Louisiana,12,36.0,9.89296200379411
107,Caddo Louisiana,12,38.5,9.874250636958585
119,Calcasieu Louisiana,12,36.3,9.850627715841837
131,Caldwell Louisiana,12,40.1,9.880026214962694
143,Cameron Louisiana,12,40.8,9.909192600028682
155,Catahoula Louisiana,12,39.7,9.978691805350747
167,Claiborne Louisiana,12,41.8,10.116260370134013
179,Concordia Louisiana,12,38.1,9.87279194142998
191,De Soto Louisiana,12,40.2,9.826319047445654
203,East Baton Rouge Louisiana,12,34.5,10.017657859514292
215,East Carroll Louisiana,12,36.0,9.918087742311616
227,East Feliciana Louisiana,12,43.6,10.064154690357983
239,Evangeline Louisiana,12,36.6,9.8375385536757
251,Franklin Louisiana,12,38.8,9.768513614788908
263,Grant Louisiana,12,37.7,10.06117736388405
275,Iberia Louisiana,12,37.4,9.778396104826006
287,Iberville Louisiana,12,39.5,10.037756451662514
299,Jackson Louisiana,12,41.6,9.916260162601626
311,Jefferson Louisiana,12,39.6,9.919974658549386
323,Jefferson Davis Louisiana,12,38.0,9.775758735016577
335,Lafayette Louisiana,12,36.0,9.947321903514874
347,Lafourche Louisiana,12,38.5,9.900470219435737
359,LaSalle Louisiana,12,38.5,9.94738785925329
371,Lincoln Louisiana,12,28.5,10.267264986521758
383,Livingston Louisiana,12,36.5,9.851383985964812
395,Madison Louisiana,12,35.5,9.9124737466898
407,Morehouse Louisiana,12,40.3,9.789269920398809
419,Natchitoches Louisiana,12,33.8,9.976775512343414
431,Orleans Louisiana,12,37.7,10.103955718914042
443,Ouachita Louisiana,12,36.4,9.876071738463846
455,Plaquemines Louisiana,12,37.1,9.811402336509031
467,Pointe Coupee Louisiana,12,43.5,9.86744132535665
479,Rapides Louisiana,12,37.9,9.828966894977167
491,Red River Louisiana,12,42.2,9.794148306088605
